,spec,concept,syn_concept,syn_chosen_concept,def_chosen_concept
0,lab,classroom,['classroom.n.01'],classroom.n.01,a room in a school where lessons take place
1,,warehouse,['warehouse.n.01'],warehouse.n.01,a storehouse for goods and merchandise
2,front,foyer,['anteroom.n.01'],anteroom.n.01,a large entrance or reception room or area
3,hotel,lobby,"['anteroom.n.01', 'lobby.n.02', 'lobby.n.03']",anteroom.n.01,a large entrance or reception room or area
4,city,street,"['street.n.01', 'street.n.02', 'street.n.03', 'street.n.04', 'street.n.05']",street.n.01,a thoroughfare (usually including sidewalks) that is lined with buildings
5,,church,"['church.n.01', 'church.n.02', 'church_service.n.01', 'church.n.04']",church.n.02,a place for public (especially Christian) worship
6,dry,mountains,"['mountain.n.01', 'batch.n.02']",mountain.n.01,a land mass that projects well above its surroundings; higher than a hill
7,copy,room,"['room.n.01', 'room.n.02', 'room.n.03', 'room.n.04']",room.n.01,an area within a building enclosed by walls and floor and ceiling
8,sculpture,garden,"['garden.n.01', 'garden.n.02', 'garden.n.03']",garden.n.01,a plot of ground where plants are cultivated
9,bathroom,sink,"['sink.n.01', 'sink.n.02', 'sinkhole.n.01', 'cesspool.n.01']",sink.n.01,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
10,,tree_house,['tree_house.n.01'],tree_house.n.01,a playhouse built in the branches of a tree
11,front,lawn,['lawn.n.01'],lawn.n.01,a field of cultivated and mowed grass
12,,mall,"['promenade.n.02', 'plaza.n.02']",plaza.n.02,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace
13,skate,park,"['park.n.01', 'park.n.02', 'ballpark.n.01', 'park.n.04', 'parking_lot.n.01', 'park.n.06']",park.n.02,a piece of open land for recreational use in an urban area
14,flower,shop,"['shop.n.01', 'workshop.n.01', 'shop_class.n.01']",shop.n.01,a mercantile establishment for the retail sale of goods or services
15,fish,market,"['market.n.01', 'market.n.02', 'grocery_store.n.01', 'market.n.04', 'marketplace.n.02']",marketplace.n.02,an area in a town where a public mercantile establishment is set up
16,fabric,store,"['shop.n.01', 'store.n.02', 'memory.n.04', 'storehouse.n.01']",shop.n.01,a mercantile establishment for the retail sale of goods or services
17,campus,quad,"['quadruplet.n.02', 'quadriceps.n.01', 'quad.n.03', 'quad.n.04']",quad.n.04,a rectangular area surrounded on all sides by buildings
18,,van,"['avant-garde.n.01', 'vanguard.n.01', 'van.n.03', 'van.n.04', 'van.n.05']",van.n.05,a truck with an enclosed cargo space
19,desert,sand_dune,['dune.n.01'],dune.n.01,a ridge of sand created by the wind; found in deserts or near lakes and oceans
20,horse,racetrack,['racetrack.n.01'],racetrack.n.01,a course over which races are run
21,art,studio,"['studio.n.01', 'studio_apartment.n.01', 'studio.n.03']",studio.n.01,workplace for the teaching or practice of an art
22,,glaciers,['glacier.n.01'],glacier.n.01,a slowly moving mass of ice
23,airplane,cabin,"['cabin.n.01', 'cabin.n.02', 'cabin.n.03']",cabin.n.03,the enclosed compartment of an aircraft or spacecraft where passengers are carried
24,,restroom,['public_toilet.n.01'],public_toilet.n.01,a toilet that is available to the public
